family_code,workbook_role,workbook_name,name,scope,refers_to,resolved_sheet,resolved_range,row_count,column_count
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Frame_Style_Table,workbook,'Motor Constraints'!$B$29:$I$47,Motor Constraints,$B$29:$I$47,19,8
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,FromArray_1,workbook,_xlfn.ANCHORARRAY('Wet End Numbering'!$C$3),,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,FromArray_2,workbook,_xlfn.ANCHORARRAY('Wet End Numbering'!$D$3),,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,FromArray_3,workbook,_xlfn.ANCHORARRAY('Wet End Numbering'!$E$3),,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,FromArray_4,workbook,_xlfn.ANCHORARRAY('Wet End Numbering'!#REF!),,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,FromArray_5,workbook,_xlfn.ANCHORARRAY('Wet End Numbering'!$F$3),,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Group,workbook,Pricing!$B$3:$B$163,Pricing,$B$3:$B$163,161,1
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Hardware_Table,workbook,Constraints!#REF!,Constraints,,,
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,ImpellerBalance_Table,workbook,Constraints!$ED$3:$EE$40,Constraints,$ED$3:$EE$40,38,2
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,ImpellerMaterial_Table,workbook,Constraints!$EG$3:$EN$40,Constraints,$EG$3:$EN$40,38,8
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,ImpellerRing_Table,workbook,Constraints!$EP$3:$ET$40,Constraints,$EP$3:$ET$40,38,5
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,List,workbook,Pricing!$U$3:$U$1070,Pricing,$U$3:$U$1070,1068,1
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Lubrication_Table,workbook,Constraints!$FS$3:$FV$40,Constraints,$FS$3:$FV$40,38,4
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,MagDrain_Table,workbook,Constraints!$GM$3:$GN$40,Constraints,$GM$3:$GN$40,38,2
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Motor_Frame_Ratings_Table,workbook,'Motor Constraints'!$B$3:$J$26,Motor Constraints,$B$3:$J$26,24,9
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,N_A,workbook,Logic!$AY$2,Logic,$AY$2,1,1
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,NONE,workbook,'Config Info'!$L$6:$L$13,Config Info,$L$6:$L$13,8,1
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Oiler_Table,workbook,Constraints!$FX$3:$GA$40,Constraints,$FX$3:$GA$40,38,4
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,OilSeal_Table,workbook,Constraints!$GE$3:$GH$40,Constraints,$GE$3:$GH$40,38,4
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,PumpMaterial_Table,workbook,Constraints!$AX$3:$BF$40,Constraints,$AX$3:$BF$40,38,9
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Seal_Table,workbook,'Seal Pricing'!$D$2:$GJ$45,Seal Pricing,$D$2:$GJ$45,44,189
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,SealChamberConfig_Table,workbook,Constraints!$DK$3:$DS$40,Constraints,$DK$3:$DS$40,38,9
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,SealOption_Table,workbook,Constraints!$EZ$3:$FC$40,Constraints,$EZ$3:$FC$40,38,4
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Series,workbook,Pricing!$D$3:$D$163,Pricing,$D$3:$D$163,161,1
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,SeriesOptions,workbook,Constraints!$B$4:$B$40,Constraints,$B$4:$B$40,37,1
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,ShaftConfig_Table,workbook,Constraints!$FE$3:$FJ$40,Constraints,$FE$3:$FJ$40,38,6
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,ShaftMaterial_Table,workbook,Constraints!$FL$3:$FP$40,Constraints,$FL$3:$FP$40,38,5
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,ShippingGasket_Table,workbook,Constraints!$DU$3:$DV$40,Constraints,$DU$3:$DV$40,38,2
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,SightGlass_Table,workbook,Constraints!$GJ$3:$GK$40,Constraints,$GJ$3:$GK$40,38,2
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Size,workbook,Pricing!$E$3:$E$163,Pricing,$E$3:$E$163,161,1
DEAN,configuration_and_quote,Dean Data Sheet Rev 2.xlsm,Size_Table,workbook,Constraints!$C$3:$AV$40,Constraints,$C$3:$AV$40,38,46
